var1,var2
1990,1994.0149431727436
1991,1992.0072515113113
1992,1994.5727207127945
1993,1996.1166372835828
1994,1996.106792429945
1995,1998.3339029424992
1996,1999.4114299206158
1997,1999.966963840724
1998,1998.53410180624
1999,2004.5714581458667
2000,2002.7947007425319
2001,2004.6511932815877
2002,2005.2737664910364
2003,2007.0246732348182
2004,2007.8176594463741
2005,2007.7902068287715
2006,2009.3781677722086
2007,2009.0545911688762
2008,2011.8569230108992
2009,2011.5389616611155
2010,2015.4167733537881
2011,2012.3489511043117
2012,2014.536012757034
2013,2016.8253798627593
2014,2017.5101325468786
2015,2017.410518961485
2016,2018.0032192577926
2017,2020.1444757047107
2018,2020.985692586833
