fam;sp;environment;DF;SVL;logDF;logSVL
Allophrynidae;Allophryne_ruthveni;still;4645;20.6;8.4435466512;3.0252910758
Alsodidae;Alsodes_nodosus;flowing;1140;75.85;7.0387835414;4.3287577058
Alytidae;Alytes_cisternasii;flowing;1491;41;7.3072023148;3.7135720667
Arthroleptidae;Cardioglossa_occidentalis;flowing;4100;27.3;8.3187422527;3.3068867022
Arthroleptidae;Leptopelis_argenteus;still;1750;45;7.4673710669;3.8066624898
Arthroleptidae;Leptopelis_bocagii;still;600;52;6.3969296552;3.9512437186
Arthroleptidae;Leptopelis_concolor;still;1750;34;7.4673710669;3.5263605246
Arthroleptidae;Leptopelis_kivuensis;still;1480;37;7.2997973668;3.6109179126
Batrachylidae;Batrachyla_antartandica;still;1951;36.7;7.5760973406;3.6027767551
Batrachylidae;Hylorina_sylvatica;still;1252;56;7.1324975517;4.0253516907
Bufonidae;Ansonia_hanitschi;flowing;5700;32;8.6482214538;3.4657359028
Bufonidae;Ansonia_leptopus;flowing;3933;40;8.2771577724;3.6888794541
Bufonidae;Ansonia_longidigita;flowing;3500;50;8.1605182475;3.9120230054
Bufonidae;Ansonia_platysoma;flowing;8000;25;8.9871968207;3.2188758249
Bufonidae;Atelopus_chiriquiensis;flowing;2025;34;7.6133249795;3.5263605246
Bufonidae;Atelopus_flavescens;flowing;2725;30;7.9102237071;3.4011973817
Bufonidae;Atelopus_franciscus;flowing;3320;21;8.1077200619;3.0445224377
Bufonidae;Atelopus_peruensis;flowing;1950;38.5;7.5755846516;3.6506582413
Bufonidae;Atelopus_pulcher;flowing;2429;29.3;7.795234929;3.377587516
Bufonidae;Atelopus_spumarius;flowing;3375;29;8.1241506033;3.36729583
Bufonidae;Atelopus_varius;flowing;2350;41;7.7621706071;3.7135720667
Bufonidae;Atelopus_zeteki;flowing;1820;40;7.5065917801;3.6888794541
Bufonidae;Bufo_arenarum;still;1100;112;7.0030654588;4.7184988713
Bufonidae;Bufo_asper;flowing;1031;100;6.938284484;4.605170186
Bufonidae;Bufo_beebei;still;3150;51;8.0551577318;3.9318256327
Bufonidae;Bufo_brauni;flowing;1120;65;7.0210839643;4.1743872699
Bufonidae;Bufo_calamita;still;1477;71;7.2977682825;4.262679877
Bufonidae;Bufo_castaneoticus;still;1650;37.7;7.4085305669;3.6296600945
Bufonidae;Bufo_coccifer;still;2512;62;7.8288345276;4.127134385
Bufonidae;Bufo_cognatus;still;2307;103;7.7437032582;4.6347289882
Bufonidae;Bufo_empusus;still;1549;76;7.3453648404;4.3307333403
Bufonidae;Bufo_granulosus;still;2906;70;7.9745328441;4.248495242
Bufonidae;Bufo_gundlachi;still;2669;34;7.8894591494;3.5263605246
Bufonidae;Bufo_gutturalis;still;1150;90;7.0475172214;4.4998096703
Bufonidae;Bufo_houstonensis;still;2151;77;7.6736881293;4.3438054219
Bufonidae;Bufo_ibarrai;still;1700;82;7.43838353;4.4067192473
Bufonidae;Bufo_juxtasper;flowing;718;138;6.576469569;4.9272536852
Bufonidae;Bufo_longinasus;flowing;2329;29;7.7531942699;3.36729583
Bufonidae;Bufo_luetkenii;still;1700;96;7.43838353;4.5643481915
Bufonidae;Bufo_marmoreus;flowing;1825;83;7.509335266;4.4188406078
Bufonidae;Bufo_melanochlorus;flowing;1700;65;7.43838353;4.1743872699
Bufonidae;Bufo_nebulifer;still;1475;98;7.2964132688;4.5849674787
Bufonidae;Bufo_ocellatus;still;1378;53;7.2283884516;3.9702919136
Bufonidae;Bufo_pantherinus;still;2500;91;7.8240460109;4.5108595065
Bufonidae;Bufo_pardalis;still;650;110;6.4769723629;4.7004803658
Bufonidae;Bufo_quercicus;still;4750;32;8.465899897;3.4657359028
Bufonidae;Bufo_raddei;still;1513;67;7.3218497138;4.2046926194
Bufonidae;Bufo_retiformis;still;3113;47;8.0433421704;3.8501476017
Bufonidae;Bufo_schneideri;still;700;180;6.551080335;5.1929568509
Bufonidae;Bufo_siculus;still;1600;86.6;7.3777589082;4.4612998156
Bufonidae;Bufo_speciosus;still;2621;78;7.8713112033;4.3567088267
Bufonidae;Bufo_steindachneri;still;2142;48.3;7.669495251;3.8774315607
Bufonidae;Bufo_taladai;flowing;768;138;6.6437897331;4.9272536852
Bufonidae;Bufo_terrestris;still;2000;82;7.6009024595;4.4067192473
Bufonidae;Bufo_valliceps;still;1480;77.8;7.2997973668;4.3541414312
Bufonidae;Dendrophryniscus_minutus;still;3900;17;8.2687318321;2.8332133441
Bufonidae;Pedostibes_tuberculosus;flowing;3782;38;8.2380082492;3.6375861597
Bufonidae;Pelophryne_misera;still;4000;21;8.2940496401;3.0445224377
Bufonidae;Schismaderma_carens;still;450;88;6.1092475828;4.4773368145
Calyptocephalellidae;Calyptocephallela_gayi;still;866;120;6.7638849086;4.7874917428
Centrolenidae;Centrolene_buckleyi;flowing;2500;34.7;7.8240460109;3.546739687
Centrolenidae;Centrolene_daidaleum;flowing;6120;24.1;8.7193173755;3.1822118405
Centrolenidae;Centrolene_geckoideum;flowing;3828;77;8.2500977526;4.3438054219
Centrolenidae;Centrolene_hesperium;flowing;3630;27.3;8.1969879273;3.3068867022
Centrolenidae;Centrolene_peristictum;flowing;6878;20.6;8.836083191;3.0252910758
Centrolenidae;Centrolene_savagei;flowing;6214;24.1;8.73456009;3.1822118405
Centrolenidae;Centrolene_venezuelense;flowing;4050;33.8;8.3064721601;3.5204608025
Centrolenidae;Cochranella_euknemos;flowing;4200;25;8.3428398043;3.2188758249
Centrolenidae;Cochranella_granulosa;flowing;4250;29;8.3546742619;3.36729583
Centrolenidae;Cochranella_mache;flowing;5410;24;8.5960043718;3.1780538303
Centrolenidae;Espadarana_prosoblepon;flowing;5758;28;8.6583454712;3.3322045102
Centrolenidae;Hyalinobatrachium_carlesvilai;flowing;4838;23.6;8.4842566912;3.161246712
Centrolenidae;Hyalinobatrachium_colymbiphyllum;flowing;4500;27;8.4118326758;3.295836866
Centrolenidae;Hyalinobatrachium_crurifasciatum;flowing;4300;24;8.3663703017;3.1780538303
Centrolenidae;Hyalinobatrachium_eccentricum;flowing;4160;23;8.3332703533;3.1354942159
Centrolenidae;Hyalinobatrachium_fleischmanni;flowing;5395;25.5;8.5932278777;3.2386784522
Centrolenidae;Hyalinobatrachium_fragile;flowing;3846;24.5;8.2547889261;3.1986731176
Centrolenidae;Hyalinobatrachium_iaspidiense;flowing;4940;20.1;8.5051206102;3.0007198151
Centrolenidae;Hyalinobatrachium_ignioculus;flowing;4920;23;8.5010638095;3.1354942159
Centrolenidae;Hyalinobatrachium_mondolfii;flowing;5106;22.5;8.5381715978;3.1135153092
Centrolenidae;Hyalinobatrachium_orientale;flowing;4819;24.5;8.4803217166;3.1986731176
Centrolenidae;Hyalinobatrachium_orocostale;flowing;3435;25.5;8.1417722047;3.2386784522
Centrolenidae;Hyalinobatrachium_pallidum;flowing;3259;22.4;8.0891756788;3.1090609589
Centrolenidae;Hyalinobatrachium_pellucidum;flowing;5039;21.4;8.5249629287;3.063390922
Centrolenidae;Hyalinobatrachium_taylori;flowing;4495;21.6;8.4107209469;3.0726933147
