"fam","sp","environment","DF","SVL","logDF","logSVL"
"Hylidae","Agalychnis_annae","flowing",1165,73.9,7.060476366,4.302712828
"Hylidae","Agalychnis_callidryas","still",2006,59,7.6038979685,4.0775374439
"Hylidae","Agalychnis_litodryas","still",1664,72.2,7.4169796214,4.2794400459
"Hylidae","Agalychnis_saltator","still",1800,54,7.4955419439,3.9889840466
"Hylidae","Agalychnis_spurrelli","still",893,75.6,6.7945865809,4.3254562832
"Hylidae","Aplastodiscus_albofrenatus","flowing",2500,40,7.8240460109,3.6888794541
"Hylidae","Aplastodiscus_albosignatus","flowing",2630,52,7.8747391252,3.9512437186
"Hylidae","Aplastodiscus_arildae","flowing",2847,41.6,7.9540210873,3.7281001673
"Hylidae","Aplastodiscus_callipygius","flowing",1040,50.7,6.9469759921,3.9259259106
"Hylidae","Argenteohyla_siemersi","still",1882,70,7.5400903201,4.248495242
"Hylidae","Bokermannohyla_circumdata","flowing",1460,70,7.2861917147,4.248495242
"Hylidae","Bokermannohyla_hylax","flowing",2000,61.5,7.6009024595,4.1190371748
"Hylidae","Cyclorana_brevipes","still",1930,45,7.5652752819,3.8066624898
"Hylidae","Cyclorana_cryptotis","still",1060,41,6.9660241871,3.7135720667
"Hylidae","Cyclorana_cultripes","still",1879,52,7.5384949994,3.9512437186
"Hylidae","Cyclorana_manya","still",2500,29.9,7.8240460109,3.3978584804
"Hylidae","Dendropsophus_allenorum","still",3430,21.4,8.1403155402,3.063390922
"Hylidae","Dendropsophus_anceps","still",3244,40,8.0845624152,3.6888794541
"Hylidae","Dendropsophus_berthalutzae","still",4041,21,8.3042474651,3.0445224377
"Hylidae","Dendropsophus_bifurcus","still",2958,28,7.9922686433,3.3322045102
"Hylidae","Dendropsophus_bipunctatus","still",5426,25,8.5989574932,3.2188758249
"Hylidae","Dendropsophus_brevifrons","still",4254,22,8.3556149958,3.0910424534
"Hylidae","Dendropsophus_carnifex","still",2490,27.7,7.8200379895,3.3214324132
"Hylidae","Dendropsophus_ebraccatus","still",2577,27.8,7.8543812107,3.3250360207
"Hylidae","Dendropsophus_elegans","still",3500,29.6,8.1605182475,3.3877743613
"Hylidae","Dendropsophus_giesleri","still",3300,25,8.1016777475,3.2188758249
"Hylidae","Dendropsophus_koechlini","still",4500,24,8.4118326758,3.1780538303
"Hylidae","Dendropsophus_labialis","still",1750,43,7.4673710669,3.7612001157
"Hylidae","Dendropsophus_leali","still",6200,23,8.732304571,3.1354942159
