"fam","sp","environment","DF","SVL","logDF","logSVL"
"Hyperoliidae","Afrixalus_delicatus","still",4525,22.2,8.4173728561,3.1000922889
"Hyperoliidae","Afrixalus_dorsalis","still",3587,28,8.1850714775,3.3322045102
"Hyperoliidae","Afrixalus_fornasini","still",2450,38,7.8038433035,3.6375861597
"Hyperoliidae","Afrixalus_knysnae","still",3800,25,8.2427563457,3.2188758249
"Hyperoliidae","Afrixalus_laevis","flowing",3000,23,8.0063675677,3.1354942159
"Hyperoliidae","Afrixalus_paradorsalis","still",2864,34,7.9599745281,3.5263605246
"Hyperoliidae","Afrixalus_stuhlmanni","still",4650,21.1,8.4446224986,3.0492730405
"Hyperoliidae","Heterixalus_andrakata","still",3200,29,8.0709060888,3.36729583
"Hyperoliidae","Heterixalus_betsileo","still",3000,28,8.0063675677,3.3322045102
"Hyperoliidae","Heterixalus_boettgeri","still",2850,25,7.9550742733,3.2188758249
"Hyperoliidae","Heterixalus_carbonei","still",3200,26.4,8.0709060888,3.2733640102
"Hyperoliidae","Heterixalus_luteostriatus","still",3500,28,8.1605182475,3.3322045102
"Hyperoliidae","Heterixalus_madagascariensis","still",3375,35,8.1241506033,3.5553480615
"Hyperoliidae","Heterixalus_tricolor","still",3000,26,8.0063675677,3.258096538
"Hyperoliidae","Heterixalus_variabilis","still",3500,31,8.1605182475,3.4339872045
"Hyperoliidae","Hyperolius_alticola","flowing",2250,33,7.7186854952,3.4965075615
"Hyperoliidae","Hyperolius_argus","still",2000,34,7.6009024595,3.5263605246
"Hyperoliidae","Hyperolius_baumanni","still",3000,30,8.0063675677,3.4011973817
"Hyperoliidae","Hyperolius_cinnamomeoventris","still",3246,28,8.0851787481,3.3322045102
"Hyperoliidae","Hyperolius_cystocandicans","still",2813,28,7.9420068085,3.3322045102
"Hyperoliidae","Hyperolius_guttulatus","flowing",2000,35,7.6009024595,3.5553480615
"Hyperoliidae","Hyperolius_kivuensis","still",2649,33,7.8819374893,3.4965075615
"Hyperoliidae","Hyperolius_montanus","still",2750,28,7.9193561907,3.3322045102
"Hyperoliidae","Hyperolius_phantasticus","still",2529,37,7.8355792467,3.6109179126
"Hyperoliidae","Hyperolius_picturatus","flowing",3850,31,8.2558284273,3.4339872045
"Hyperoliidae","Hyperolius_puncticulatus","still",2000,33,7.6009024595,3.4965075615
"Hyperoliidae","Hyperolius_pusillus","still",4950,21,8.5071428556,3.0445224377
"Hyperoliidae","Hyperolius_torrentis","flowing",3500,38,8.1605182475,3.6375861597
"Hyperoliidae","Hyperolius_viridiflavus","flowing",4250,30,8.3546742619,3.4011973817
"Hyperoliidae","Kassina_maculata","still",1700,65,7.43838353,4.1743872699
"Hyperoliidae","Kassina_senegalensis","still",1000,49,6.907755279,3.8918202981
"Hyperoliidae","Phlyctimantis_verrucosus","still",1600,52,7.3777589082,3.9512437186
"Hyperoliidae","Semnodactylus_wealii","still",2000,44,7.6009024595,3.7841896339
