"fam","sp","environment","DF","SVL","logDF","logSVL"
"Mantellidae","Aglyptodactylus_laticeps","still",2350,45.4,7.7621706071,3.815512105
"Mantellidae","Blommersia_blommersae","still",6000,21.3,8.6995147482,3.0587070727
"Mantellidae","Blommersia_domerguei","still",4350,17,8.3779311241,2.8332133441
"Mantellidae","Blommersia_kely","still",4700,15.9,8.4553177877,2.7663191092
"Mantellidae","Blommersia_sarotra","still",4592,16.8,8.432070938,2.8213788864
"Mantellidae","Boophis_boehmei","flowing",2500,30,7.8240460109,3.4011973817
"Mantellidae","Boophis_goudotii","still",750,70,6.6200732065,4.248495242
"Mantellidae","Boophis_luteus","flowing",3250,40,8.0864102753,3.6888794541
"Mantellidae","Boophis_marojezensis","flowing",5583,27,8.6274815453,3.295836866
"Mantellidae","Boophis_rappiodes","flowing",3000,25.1,8.0063675677,3.2228678461
"Mantellidae","Boophis_sibilans","flowing",3300,32.5,8.1016777475,3.4812400893
"Mantellidae","Boophis_vittatus","flowing",7250,25.5,8.8887567478,3.2386784522
"Mantellidae","Boophis_xerophilus","still",2700,38.7,7.901007052,3.6558396
"Mantellidae","Guibemantis_tornieri","still",1850,49,7.5229409181,3.8918202981
"Mantellidae","Mantella_viridis","flowing",4350,25,8.3779311241,3.2188758249
"Mantellidae","Mantidactylus_argenteus","flowing",4250,27,8.3546742619,3.295836866
"Mantellidae","Mantidactylus_charlotteae","flowing",2900,26.2,7.972466016,3.2657594108
"Mantellidae","Mantidactylus_opiparis","flowing",3150,26.1,8.0551577318,3.2619353143
