"fam","sp","environment","DF","SVL","logDF","logSVL"
"Microhylidae","Calluella_guttulata","still",1950,49,7.5755846516,3.8918202981
"Microhylidae","Chiasmocleis_hudsoni","still",3795,17,8.2414396898,2.8332133441
"Microhylidae","Chiasmocleis_shudikarensis","still",3565,24.5,8.1789193328,3.1986731176
"Microhylidae","Dermatonotus_muelleri","still",1758,62.4,7.4719320782,4.1335652754
"Microhylidae","Elachistocleis_ovalis","still",3838,36,8.2527066766,3.5835189385
"Microhylidae","Gastrophryne_elegans","still",3100,25.8,8.0391573905,3.2503744919
"Microhylidae","Gastrophryne_olivacea","still",4420,30.8,8.3938949751,3.42751469
"Microhylidae","Glyphoglossus_molossus","still",700,77,6.551080335,4.3438054219
"Microhylidae","Hamptophryne_boliviana","still",2208,35,7.6998424074,3.5553480615
"Microhylidae","Hypopachus_variolosus","still",2750,48,7.9193561907,3.8712010109
"Microhylidae","Kaloula_pulchra","still",2500,70,7.8240460109,4.248495242
"Microhylidae","Microhyla_butleri","still",2850,26,7.9550742733,3.258096538
"Microhylidae","Microhyla_pulchra","still",1750,35,7.4673710669,3.5553480615
"Microhylidae","Micryletta_inornata","still",5450,30,8.6033708877,3.4011973817
"Microhylidae","Phrynomantis_bifasciatus","still",1800,53,7.4955419439,3.9702919136
"Microhylidae","Phrynomantis_microps","still",1260,47.3,7.1388669999,3.8565102955
"Microhylidae","Scaphiophryne_boribory","still",700,60,6.551080335,4.0943445622
"Microhylidae","Scaphiophryne_gottlebei","still",950,30,6.8564619846,3.4011973817
"Microhylidae","Scaphiophryne_madagascariensis","still",1000,49,6.907755279,3.8918202981
"Microhylidae","Scaphiophryne_menabensis","still",850,42,6.7452363495,3.7376696183
"Microhylidae","Scaphiophryne_spinosa","still",800,48,6.6846117277,3.8712010109
