pais,altura
Armenia,171.7
Austria,178.8
Azerbaijan,172.2
Bangladesh,162.4
Belarus,176.4
Benin,169.2
Bolivia,164.2
Botswana,167.1
Brazil,171.7
Burkina Faso,172.8
Cambodia,162.5
Cameroon,171
Canada,179.6
Cape Verde,169
Chad,173.3
Chile,173.1
China,171.5
Colombia,170.6
Congo,168.4
Costa Rica,173.6
Cote d'Ivoire,171
Democratic Republic of Congo,167.5
Denmark,183.2
Djibouti,168.9
Egypt,171.3
Estonia,179.1
Ethiopia,167.3
Finland,178.2
France,176.5
Gabon,169.7
Germany,180.5
Ghana,170
Greece,177.3
Guatemala,160.8
Guinea,169.5
Guyana,170.5
Haiti,171.5
Honduras,164.7
India,164.4
Indonesia,164
Iran,172.4
Ireland,176.6
Italy,174.5
Jamaica,173.6
Japan,171.7
Jordan,170.3
Kenya,171.2
Laos,165.2
Lesotho,167.4
Liberia,167.3
Madagascar,162.9
Malawi,166.2
Mali,172.2
Mexico,167.8
Moldova,174.2
Morocco,170.3
Mozambique,165.2
Myanmar,161.3
Namibia,171.3
Nepal,163
Netherlands,182.7
Nicaragua,166.4
Niger,170.7
Nigeria,169.5
North Korea,173.8
Norway,179.7
Panama,170
Papua New Guinea,160.9
Peru,164.2
Philippines,165.6
Poland,177.4
Portugal,172.1
Russia,177
Rwanda,167.2
Senegal,174.3
Sierra Leone,165.8
South Africa,168.1
South Korea,173.8
Spain,175.6
Sri Lanka,165.8
Swaziland,170.2
Sweden,180.4
Tanzania,166.9
Togo,167.7
Trinidad and Tobago,174.4
Uganda,169.3
United Arab Emirates,169.1
United Kingdom,176.8
United States,179
Vietnam,160
Yemen,167.6
Zambia,168.2
Zimbabwe,171
