"fam","sp","environment","DF","SVL","logDF","logSVL"
"Bufonidae","Ansonia_hanitschi","flowing",5700,32,8.6482214538,3.4657359028
"Bufonidae","Ansonia_leptopus","flowing",3933,40,8.2771577724,3.6888794541
"Bufonidae","Ansonia_longidigita","flowing",3500,50,8.1605182475,3.9120230054
"Bufonidae","Ansonia_platysoma","flowing",8000,25,8.9871968207,3.2188758249
"Bufonidae","Atelopus_chiriquiensis","flowing",2025,34,7.6133249795,3.5263605246
"Bufonidae","Atelopus_flavescens","flowing",2725,30,7.9102237071,3.4011973817
"Bufonidae","Atelopus_franciscus","flowing",3320,21,8.1077200619,3.0445224377
"Bufonidae","Atelopus_peruensis","flowing",1950,38.5,7.5755846516,3.6506582413
"Bufonidae","Atelopus_pulcher","flowing",2429,29.3,7.795234929,3.377587516
"Bufonidae","Atelopus_spumarius","flowing",3375,29,8.1241506033,3.36729583
"Bufonidae","Atelopus_varius","flowing",2350,41,7.7621706071,3.7135720667
"Bufonidae","Atelopus_zeteki","flowing",1820,40,7.5065917801,3.6888794541
"Bufonidae","Bufo_arenarum","still",1100,112,7.0030654588,4.7184988713
"Bufonidae","Bufo_asper","flowing",1031,100,6.938284484,4.605170186
"Bufonidae","Bufo_beebei","still",3150,51,8.0551577318,3.9318256327
"Bufonidae","Bufo_brauni","flowing",1120,65,7.0210839643,4.1743872699
"Bufonidae","Bufo_calamita","still",1477,71,7.2977682825,4.262679877
"Bufonidae","Bufo_castaneoticus","still",1650,37.7,7.4085305669,3.6296600945
"Bufonidae","Bufo_coccifer","still",2512,62,7.8288345276,4.127134385
"Bufonidae","Bufo_cognatus","still",2307,103,7.7437032582,4.6347289882
"Bufonidae","Bufo_empusus","still",1549,76,7.3453648404,4.3307333403
"Bufonidae","Bufo_granulosus","still",2906,70,7.9745328441,4.248495242
"Bufonidae","Bufo_gundlachi","still",2669,34,7.8894591494,3.5263605246
"Bufonidae","Bufo_gutturalis","still",1150,90,7.0475172214,4.4998096703
"Bufonidae","Bufo_houstonensis","still",2151,77,7.6736881293,4.3438054219
"Bufonidae","Bufo_ibarrai","still",1700,82,7.43838353,4.4067192473
"Bufonidae","Bufo_juxtasper","flowing",718,138,6.576469569,4.9272536852
"Bufonidae","Bufo_longinasus","flowing",2329,29,7.7531942699,3.36729583
"Bufonidae","Bufo_luetkenii","still",1700,96,7.43838353,4.5643481915
"Bufonidae","Bufo_marmoreus","flowing",1825,83,7.509335266,4.4188406078
"Bufonidae","Bufo_melanochlorus","flowing",1700,65,7.43838353,4.1743872699
"Bufonidae","Bufo_nebulifer","still",1475,98,7.2964132688,4.5849674787
"Bufonidae","Bufo_ocellatus","still",1378,53,7.2283884516,3.9702919136
"Bufonidae","Bufo_pantherinus","still",2500,91,7.8240460109,4.5108595065
"Bufonidae","Bufo_pardalis","still",650,110,6.4769723629,4.7004803658
"Bufonidae","Bufo_quercicus","still",4750,32,8.465899897,3.4657359028
"Bufonidae","Bufo_raddei","still",1513,67,7.3218497138,4.2046926194
"Bufonidae","Bufo_retiformis","still",3113,47,8.0433421704,3.8501476017
"Bufonidae","Bufo_schneideri","still",700,180,6.551080335,5.1929568509
"Bufonidae","Bufo_siculus","still",1600,86.6,7.3777589082,4.4612998156
"Bufonidae","Bufo_speciosus","still",2621,78,7.8713112033,4.3567088267
"Bufonidae","Bufo_steindachneri","still",2142,48.3,7.669495251,3.8774315607
"Bufonidae","Bufo_taladai","flowing",768,138,6.6437897331,4.9272536852
"Bufonidae","Bufo_terrestris","still",2000,82,7.6009024595,4.4067192473
"Bufonidae","Bufo_valliceps","still",1480,77.8,7.2997973668,4.3541414312
"Bufonidae","Dendrophryniscus_minutus","still",3900,17,8.2687318321,2.8332133441
"Bufonidae","Pedostibes_tuberculosus","flowing",3782,38,8.2380082492,3.6375861597
"Bufonidae","Pelophryne_misera","still",4000,21,8.2940496401,3.0445224377
"Bufonidae","Schismaderma_carens","still",450,88,6.1092475828,4.4773368145
