"fam","sp","environment","DF","SVL","logDF","logSVL"
"Centrolenidae","Centrolene_buckleyi","flowing",2500,34.7,7.8240460109,3.546739687
"Centrolenidae","Centrolene_daidaleum","flowing",6120,24.1,8.7193173755,3.1822118405
"Centrolenidae","Centrolene_geckoideum","flowing",3828,77,8.2500977526,4.3438054219
"Centrolenidae","Centrolene_hesperium","flowing",3630,27.3,8.1969879273,3.3068867022
"Centrolenidae","Centrolene_peristictum","flowing",6878,20.6,8.836083191,3.0252910758
"Centrolenidae","Centrolene_savagei","flowing",6214,24.1,8.73456009,3.1822118405
"Centrolenidae","Centrolene_venezuelense","flowing",4050,33.8,8.3064721601,3.5204608025
"Centrolenidae","Cochranella_euknemos","flowing",4200,25,8.3428398043,3.2188758249
"Centrolenidae","Cochranella_granulosa","flowing",4250,29,8.3546742619,3.36729583
"Centrolenidae","Cochranella_mache","flowing",5410,24,8.5960043718,3.1780538303
"Centrolenidae","Espadarana_prosoblepon","flowing",5758,28,8.6583454712,3.3322045102
"Centrolenidae","Hyalinobatrachium_carlesvilai","flowing",4838,23.6,8.4842566912,3.161246712
"Centrolenidae","Hyalinobatrachium_colymbiphyllum","flowing",4500,27,8.4118326758,3.295836866
"Centrolenidae","Hyalinobatrachium_crurifasciatum","flowing",4300,24,8.3663703017,3.1780538303
"Centrolenidae","Hyalinobatrachium_eccentricum","flowing",4160,23,8.3332703533,3.1354942159
"Centrolenidae","Hyalinobatrachium_fleischmanni","flowing",5395,25.5,8.5932278777,3.2386784522
"Centrolenidae","Hyalinobatrachium_fragile","flowing",3846,24.5,8.2547889261,3.1986731176
"Centrolenidae","Hyalinobatrachium_iaspidiense","flowing",4940,20.1,8.5051206102,3.0007198151
"Centrolenidae","Hyalinobatrachium_ignioculus","flowing",4920,23,8.5010638095,3.1354942159
"Centrolenidae","Hyalinobatrachium_mondolfii","flowing",5106,22.5,8.5381715978,3.1135153092
"Centrolenidae","Hyalinobatrachium_orientale","flowing",4819,24.5,8.4803217166,3.1986731176
"Centrolenidae","Hyalinobatrachium_orocostale","flowing",3435,25.5,8.1417722047,3.2386784522
"Centrolenidae","Hyalinobatrachium_pallidum","flowing",3259,22.4,8.0891756788,3.1090609589
"Centrolenidae","Hyalinobatrachium_pellucidum","flowing",5039,21.4,8.5249629287,3.063390922
"Centrolenidae","Hyalinobatrachium_taylori","flowing",4495,21.6,8.4107209469,3.0726933147
"Centrolenidae","Hyalinobatrachium_valerioi","flowing",7250,24,8.8887567478,3.1780538303
"Centrolenidae","Nymphargus_griffithsi","flowing",4107,24.2,8.320448114,3.1863526332
"Centrolenidae","Nymphargus_pluvialis","flowing",3941,26.5,8.2791897772,3.277144733
"Centrolenidae","Rulyrana_spiculata","flowing",4639,27.7,8.4422541048,3.3214324132
"Centrolenidae","Teratohyla_midas","flowing",4680,26.8,8.4510533889,3.2884018875
"Centrolenidae","Teratohyla_pulverata","flowing",5950,29,8.6911464985,3.36729583
"Centrolenidae","Teratohyla_spinosa","flowing",7000,20,8.853665428,2.9957322736
"Centrolenidae","Vitreorana_antisthenesi","flowing",5432,27,8.6000626692,3.295836866
"Centrolenidae","Vitreorana_eurygnatha","flowing",4850,22.5,8.4867339839,3.1135153092
"Centrolenidae","Vitreorana_gorzulae","flowing",4787,22.5,8.4736591894,3.1135153092
"Centrolenidae","Vitreorana_helenae","flowing",4495,20.4,8.4107209469,3.0155349009
