"fam","sp","environment","DF","SVL","logDF","logSVL"
"Dicroglossidae","Euphlyctis_cyanophlyctis","still",1651,45,7.4091364439,3.8066624898
"Dicroglossidae","Euphlyctis_ehrenbergii","still",937,66,6.8426832822,4.189654742
"Dicroglossidae","Fejervarya_limnocharis","still",2119,43,7.6586995583,3.7612001157
"Dicroglossidae","Fejervarya_sakishimensis","still",1030,55.5,6.9373140812,4.0163830208
"Dicroglossidae","Fejervarya_syhadrensis","still",3350,29.3,8.1167156248,3.377587516
"Dicroglossidae","Hoplobatrachus_occipitalis","still",1250,104,7.1308988303,4.6443908991
"Dicroglossidae","Hoplobatrachus_tigerinus","still",520,120,6.2538288116,4.7874917428
"Dicroglossidae","Limnonectes_arathooni","flowing",3380,42,8.1256309885,3.7376696183
"Dicroglossidae","Limnonectes_blythii","flowing",428,105.4,6.0591231956,4.6577626361
"Dicroglossidae","Limnonectes_gyldenstolpei","flowing",1085,53,6.989335266,3.9702919136
"Dicroglossidae","Limnonectes_microdiscus","flowing",875,48.6,6.7742238864,3.8836235309
"Dicroglossidae","Paa_spinosa","flowing",834,101,6.7262334024,4.6151205168
"Dicroglossidae","Sphaerotheca_breviceps","still",1950,48,7.5755846516,3.8712010109
