"fam","sp","environment","DF","SVL","logDF","logSVL"
"Odontophrynidae","Macrogenioglottus_alipioi","still",515,100,6.2441669007,4.605170186
"Odontophrynidae","Odontophrynus_achalensis","flowing",933,49.4,6.8384052008,3.8999504242
"Odontophrynidae","Odontophrynus_americanus","still",1035,58,6.9421567057,4.0604430105
"Odontophrynidae","Odontophrynus_cultripes","still",660,60,6.492239835,4.0943445622
"Odontophrynidae","Odontophrynus_occidentalis","flowing",820,60,6.7093043403,4.0943445622
"Odontophrynidae","Proceratophrys_avelinoi","flowing",1600,29.2,7.3777589082,3.3741687093
"Odontophrynidae","Proceratophrys_bigibbosa","flowing",1050,43.8,6.9565454432,3.7796338174
"Odontophrynidae","Proceratophrys_concavitympanum","flowing",818,57.1,6.7068623366,4.0448041167
"Odontophrynidae","Proceratophrys_cristiceps","flowing",940,50.2,6.8458798753,3.9160150267
"Odontophrynidae","Proceratophrys_cururu","flowing",800,43.1,6.6846117277,3.7635229971
"Odontophrynidae","Proceratophrys_goyana","flowing",1006,46.5,6.9137373507,3.8394523126
"Odontophrynidae","Proceratophrys_melanopogon","flowing",1179,49.9,7.0724219005,3.9100210028
