"fam","sp","environment","DF","SVL","logDF","logSVL"
"Ranidae","Amnirana_galamensis","still",2500,78,7.8240460109,4.3567088267
"Ranidae","Amolops_chunganensis","flowing",3425,39,8.1388567507,3.6635616461
"Ranidae","Amolops_larutensis","flowing",5033,30,8.5237715068,3.4011973817
"Ranidae","Amolops_panhai","flowing",6500,34,8.7795574559,3.5263605246
"Ranidae","Amolops_wuyiensis","flowing",2232,47,7.7106533235,3.8501476017
"Ranidae","Huia_cavitympanum","flowing",15966,52,9.6782167402,3.9512437186
"Ranidae","Huia_masonii","flowing",12000,37.8,9.3926619288,3.6323091026
"Ranidae","Hylarana_nicobariensis","still",1825,46.2,7.509335266,3.8329797981
"Ranidae","Meristogenys_jerboa","flowing",5650,44,8.6394108241,3.7841896339
"Ranidae","Meristogenys_orphnocnemis","flowing",7205,37.3,8.8825305084,3.6189933266
"Ranidae","Odorrana_schmackeri","flowing",3479,46,8.1545001752,3.8286413965
"Ranidae","Odorrana_tormota","flowing",7000,33,8.853665428,3.4965075615
"Ranidae","Rana_adenopleura","still",650,51,6.4769723629,3.9318256327
"Ranidae","Rana_amamiensis","flowing",2850,69,7.9550742733,4.2341065046
"Ranidae","Rana_baramica","still",2000,55.6,7.6009024595,4.0181832013
"Ranidae","Rana_curtipes","still",1222,51.4,7.1082441397,3.9396381725
"Ranidae","Rana_dalmatina","still",682,59,6.5250296578,4.0775374439
"Ranidae","Rana_erythraea","still",2459,48,7.8075100422,3.8712010109
"Ranidae","Rana_forreri","still",850,90,6.7452363495,4.4998096703
"Ranidae","Rana_glandulosa","still",1380,55,7.2298387782,4.0073331852
"Ranidae","Rana_hosii","flowing",4950,68,8.5071428556,4.2195077052
"Ranidae","Rana_laterimaculata","flowing",3245,39,8.0848706291,3.6635616461
"Ranidae","Rana_lessonae","still",1831,57,7.5126175447,4.0430512678
"Ranidae","Rana_livida","flowing",5250,54,8.5659833556,3.9889840466
"Ranidae","Rana_luctuosa","still",1500,68,7.3132203871,4.2195077052
"Ranidae","Rana_nigromaculata","still",2043,81,7.6221745948,4.3944491547
"Ranidae","Rana_picturata","flowing",2500,54,7.8240460109,3.9889840466
"Ranidae","Rana_plancyi","still",1840,50,7.5175208506,3.9120230054
"Ranidae","Rana_pretiosa","still",1000,75,6.907755279,4.3174881135
"Ranidae","Rana_septentrionalis","still",605,63.1,6.405228458,4.1447207695
"Ranidae","Rana_supranarina","flowing",1840,76.8,7.5175208506,4.3412046402
"Ranidae","Rana_taylori","still",1350,78,7.2078598714,4.3567088267
"Ranidae","Rana_temporalis","flowing",3100,55.3,8.0391573905,4.0127729085
"Ranidae","Rana_utsunomiyaorum","flowing",2326,48.1,7.7519053331,3.8732821771
"Ranidae","Staurois_latopalmatus","flowing",5149,47.7,8.5465578,3.8649313979
"Ranidae","Staurois_natator","flowing",4746,35.5,8.465057437,3.5695326965
"Ranidae","Staurois_parvus","flowing",5578,23.6,8.6265855682,3.161246712
"Ranidae","Staurois_tuberilinguis","flowing",5240,30.2,8.5640767773,3.4078419244
