"fam","sp","environment","DF","SVL","logDF","logSVL"
"Rhacophoridae","Buergeria_robusta","flowing",1850,52,7.5229409181,3.9512437186
"Rhacophoridae","Chiromantis_doriae","still",4300,26.5,8.3663703017,3.277144733
"Rhacophoridae","Chiromantis_rufescens","still",1650,49,7.4085305669,3.8918202981
"Rhacophoridae","Chiromantis_vittatus","still",3900,25.2,8.2687318321,3.2268439945
"Rhacophoridae","Chiromantis_xerampelina","still",1700,75,7.43838353,4.3174881135
"Rhacophoridae","Ghatixalus_variabilis","flowing",3135,48,8.0503844531,3.8712010109
"Rhacophoridae","Kurixalus_idiootocus","still",2300,24.9,7.7406644019,3.2148678035
"Rhacophoridae","Polypedates_leucomystax","still",1528,63,7.3317149697,4.1431347264
"Rhacophoridae","Polypedates_maculatus","still",1550,57,7.3460102099,4.0430512678
"Rhacophoridae","Rhacophorus_arboreus","still",1400,60,7.2442275156,4.0943445622
"Rhacophoridae","Rhacophorus_chenfui","still",2329,41,7.7531942699,3.7135720667
"Rhacophoridae","Rhacophorus_dennysi","still",1321,96,7.1861443045,4.5643481915
"Rhacophoridae","Rhacophorus_dugritei","still",1600,40.8,7.3777589082,3.7086820814
"Rhacophoridae","Rhacophorus_kio","still",890,79.1,6.7912214627,4.3707128748
"Rhacophoridae","Rhacophorus_malabaricus","still",1260,48.3,7.1388669999,3.8774315607
"Rhacophoridae","Rhacophorus_omeimontis","still",972,70,6.8793558045,4.248495242
"Rhacophoridae","Rhacophorus_reinwardtii","still",1300,52.5,7.1701195434,3.9608131696
"Rhacophoridae","Rhacophorus_schlegelii","still",1900,43,7.5496091652,3.7612001157
